wallet_address,points
0x03879dA9151Af28D8Aa88a407D29473086b03f35,59466
0x54bf5834b8Ac11A33f98dd3283e496d89768f490,28565
0x0fcD284F41A068B268FD89b0f8E0f1B94E522841,21185
0x20a7549c9f0249486FF762Aac2Ed7c2485d7c744,16740
0x4Bc581A3D538c0f6e2a62606398378b23Dc287B2,12990.5
0x59BE65D6f1aA99bB1c6203f63C9c82072dF58343,12269
0x4227e2581eC746BC91Fddb258c7a29f9E06A9316,12208.5
0xd002E731B302286009AbAAFD5E05A9853f5f3002,10292
0xB6F28ae8f31D85dC27361852b986286113Bc588D,10223
0xA4930754b310548C3AfEc27D71d8429B50032210,9552
0x50E9701b55a4dFD19aF7cB9d34d5C1018CB289eb,9213
0x230270d2D668f2750fA177E7A37a287f17a7014e,9000
0xF4Cc8A6a89cEFdbdb515EaB3AC7d76C7F32BD61B,8621
0xd58d3f68312DFC70d0EEF41FeEb7Fa5e8849d635,7659
0xc0900d99D303F44371999f758F0b3e885b9833F6,7280
0xa65EdADf32e5730BA78415138E10751f317e4De2,7130
0x3A0aB4ff981389Ac6f49bEB8C5F6975b4cD9B1A9,6903
0x41F6e878613A4dB0A31F54E76bE70Ee18C5F80d7,6496
0x2551DC445daf962fd020d52d25Fc88c476ECc7Cf,6388
0x2f19F10f25d3f324538EBfd0BF34903b06df8E0D,6285
0x1C0F6Dc0d5A3a4a7cDE932b885b60781c40F958F,6198
0x4f158Ef77C8e80d09c2b84AB6800226a366bC3B9,6198
0x55F49b3eBe2630d112f7E34DbB23BfcCb2A7B5b6,6198
0x685c0D800Cd11BA127d73390c1D6002B6bB0a364,6198
0x6B5C3F9eBB96f85ff9180665093E9a7854301221,6198
0xa5a1d023BD7961ed95c21dd81D0BDCf5eC4E62D1,6198
0xaf9a91bD4accD7b3A51fBE327f45Aa2e45D4995C,6198
0xce7134B8534cc8471B9dBba2548fe095C1a637D3,6198
0xE56Ed887d6210eB96fED16a3112396c5094978Be,6198
0x345e1A371a0A5A021aC29075FF5F624560bF3821,6184
0xA2732FDCb1168F82466926C3Cf4Df3E6c0830102,6184
0xEbd1a1E3E995F071847f57bffb17000b6d643863,6183
0xbF5CEf462DEe7F8893Cb9C6f0F95850eae0C53fF,6049
0x09D71bBC18b0a8308af47C2B3DD6f353719135C8,5540
